Question,Condition,GeneratedSQL,ExecutionResult,ErrorMessage,Result
Which major has the fewest students?,"{""role"": ""Training Manager"", ""identity"": []}",SELECT TOP 1 major_name FROM Majors JOIN Students ON Majors.major_id = Students.major_id GROUP BY major_name ORDER BY COUNT(*) ASC,SUCCESS,,"[
  {
    ""major_name"": ""Information Assurance""
  }
]"
Find information for user ID HE011.,"{""role"": ""Admin"", ""identity"": []}",SELECT * FROM Users WHERE user_id = 'HE011',SUCCESS,,"[
  {
    ""username"": ""userk"",
    ""password"": ""123"",
    ""user_id"": ""HE011"",
    ""fullname"": ""Student K"",
    ""user_gender"": ""male"",
    ""user_dob"": ""2002-03-07"",
    ""user_address"": ""H\u1ea3i D\u01b0\u01a1ng""
  }
]"
List all students.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT student_id, s.major_id, start_date, start_semester
FROM Students s
JOIN Majors m ON s.major_id = m.major_id;",SUCCESS,,"[
  {
    ""student_id"": ""HE001"",
    ""major_id"": ""AI"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE002"",
    ""major_id"": ""AI"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE003"",
    ""major_id"": ""AI"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE004"",
    ""major_id"": ""AI"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE005"",
    ""major_id"": ""AI"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE006"",
    ""major_id"": ""IS"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE007"",
    ""major_id"": ""IS"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE008"",
    ""major_id"": ""IS"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE009"",
    ""major_id"": ""IS"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE010"",
    ""major_id"": ""IS"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE011"",
    ""major_id"": ""IA"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE012"",
    ""major_id"": ""IA"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE013"",
    ""major_id"": ""IA"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE014"",
    ""major_id"": ""IA"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE015"",
    ""major_id"": ""IA"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE016"",
    ""major_id"": ""SE"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE017"",
    ""major_id"": ""SE"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE018"",
    ""major_id"": ""SE"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE019"",
    ""major_id"": ""SE"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE020"",
    ""major_id"": ""SE"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  }
]"
List the names and IDs of all students.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT Students.student_id, Users.fullname
FROM Students
INNER JOIN Users ON Students.student_id = Users.user_id;",SUCCESS,,"[
  {
    ""student_id"": ""HE001"",
    ""fullname"": ""Student A""
  },
  {
    ""student_id"": ""HE002"",
    ""fullname"": ""Student B""
  },
  {
    ""student_id"": ""HE003"",
    ""fullname"": ""Student C""
  },
  {
    ""student_id"": ""HE004"",
    ""fullname"": ""Student D""
  },
  {
    ""student_id"": ""HE005"",
    ""fullname"": ""Student E""
  },
  {
    ""student_id"": ""HE006"",
    ""fullname"": ""Student F""
  },
  {
    ""student_id"": ""HE007"",
    ""fullname"": ""Student G""
  },
  {
    ""student_id"": ""HE008"",
    ""fullname"": ""Student H""
  },
  {
    ""student_id"": ""HE009"",
    ""fullname"": ""Student I""
  },
  {
    ""student_id"": ""HE010"",
    ""fullname"": ""Student J""
  },
  {
    ""student_id"": ""HE011"",
    ""fullname"": ""Student K""
  },
  {
    ""student_id"": ""HE012"",
    ""fullname"": ""Student L""
  },
  {
    ""student_id"": ""HE013"",
    ""fullname"": ""Student M""
  },
  {
    ""student_id"": ""HE014"",
    ""fullname"": ""Student N""
  },
  {
    ""student_id"": ""HE015"",
    ""fullname"": ""Student O""
  },
  {
    ""student_id"": ""HE016"",
    ""fullname"": ""Student P""
  },
  {
    ""student_id"": ""HE017"",
    ""fullname"": ""Student Q""
  },
  {
    ""student_id"": ""HE018"",
    ""fullname"": ""Student R""
  },
  {
    ""student_id"": ""HE019"",
    ""fullname"": ""Student S""
  },
  {
    ""student_id"": ""HE020"",
    ""fullname"": ""Student T""
  }
]"
What is my role?,"{""role"": ""Student"", ""identity"": [""HE001""]}",SELECT role_name FROM UserRole INNER JOIN Roles ON UserRole.role_id = Roles.role_id WHERE user_id = 'HE001',SUCCESS,,"[
  {
    ""role_name"": ""Student""
  }
]"
List all courses.,"{""role"": ""Student"", ""identity"": []}","SELECT course_id, course_name FROM Courses",SUCCESS,,"[
  {
    ""course_id"": ""AIL"",
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_id"": ""CEA"",
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_id"": ""CPV"",
    ""course_name"": ""Computer Vision""
  },
  {
    ""course_id"": ""CSI"",
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_id"": ""IAA"",
    ""course_name"": ""Risk Management in Information Systems""
  },
  {
    ""course_id"": ""IAM"",
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""course_id"": ""IAP"",
    ""course_name"": ""Policy Development in Information Assurance""
  },
  {
    ""course_id"": ""ISM"",
    ""course_name"": ""Enterprise Resource Planning (ERP)""
  },
  {
    ""course_id"": ""ISP"",
    ""course_name"": ""Information System Programming Project""
  },
  {
    ""course_id"": ""ITA"",
    ""course_name"": ""Information System Design & Analysis""
  },
  {
    ""course_id"": ""MAE"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_id"": ""NLP"",
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""course_id"": ""SWD"",
    ""course_name"": ""Software Architecture and Design""
  },
  {
    ""course_id"": ""SWP"",
    ""course_name"": ""Software development project""
  },
  {
    ""course_id"": ""SWR"",
    ""course_name"": ""Software Requirement""
  }
]"
Please tell me about the Mathematics for Engineering course.,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT c.course_name, c.no_credit, c.description
FROM Courses c
JOIN Curriculums cu ON c.course_id = cu.course_id
WHERE c.course_name LIKE '%Mathematics for Engineering%';",SUCCESS,,"[
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""no_credit"": 3,
    ""description"": ""This course will provide students with a solid foundation in essential mathematical concepts, including single-variable calculus, linear algebra, and vector spaces.""
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""no_credit"": 3,
    ""description"": ""This course will provide students with a solid foundation in essential mathematical concepts, including single-variable calculus, linear algebra, and vector spaces.""
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""no_credit"": 3,
    ""description"": ""This course will provide students with a solid foundation in essential mathematical concepts, including single-variable calculus, linear algebra, and vector spaces.""
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""no_credit"": 3,
    ""description"": ""This course will provide students with a solid foundation in essential mathematical concepts, including single-variable calculus, linear algebra, and vector spaces.""
  }
]"
How many courses are offered?,"{""role"": ""Student"", ""identity"": [""HE001""]}",SELECT COUNT(DISTINCT course_id) FROM Courses,SUCCESS,,"[
  {
    """": 15
  }
]"
Which courses have 3 credits?,"{""role"": ""Student"", ""identity"": []}",SELECT course_name FROM Courses WHERE no_credit = 3,SUCCESS,,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_name"": ""Computer Vision""
  },
  {
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_name"": ""Risk Management in Information Systems""
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""course_name"": ""Policy Development in Information Assurance""
  },
  {
    ""course_name"": ""Enterprise Resource Planning (ERP)""
  },
  {
    ""course_name"": ""Information System Programming Project""
  },
  {
    ""course_name"": ""Information System Design & Analysis""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""course_name"": ""Software Architecture and Design""
  },
  {
    ""course_name"": ""Software development project""
  },
  {
    ""course_name"": ""Software Requirement""
  }
]"
What does the content of the Natural Language Processing course include?,"{""role"": ""Student"", ""identity"": []}",SELECT description FROM Courses WHERE course_id = (SELECT course_id FROM ClassCourse WHERE course_id = 'NLP'),SUCCESS,,"[
  {
    ""description"": ""Explores the techniques and algorithms used to process and analyze human language, enabling applications like text analysis, chatbots, and translation systems.""
  }
]"
Which course is named Machine Learning?,"{""role"": ""Student"", ""identity"": []}",SELECT course_id FROM Courses WHERE course_name = 'Machine Learning',SUCCESS,,"[
  {
    ""course_id"": ""AIL""
  }
]"
How many course names start with 'I'?,"{""role"": ""Student"", ""identity"": []}",SELECT COUNT(*) FROM Courses WHERE course_name LIKE 'I%',SUCCESS,,"[
  {
    """": 3
  }
]"
Which courses have fewer than 4 credits?,"{""role"": ""Student"", ""identity"": []}",SELECT course_name FROM Courses WHERE no_credit < 4,SUCCESS,,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_name"": ""Computer Vision""
  },
  {
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_name"": ""Risk Management in Information Systems""
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""course_name"": ""Policy Development in Information Assurance""
  },
  {
    ""course_name"": ""Enterprise Resource Planning (ERP)""
  },
  {
    ""course_name"": ""Information System Programming Project""
  },
  {
    ""course_name"": ""Information System Design & Analysis""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""course_name"": ""Software Architecture and Design""
  },
  {
    ""course_name"": ""Software development project""
  },
  {
    ""course_name"": ""Software Requirement""
  }
]"
"Show the courses, sorted by number of credits (lowest to highest).","{""role"": ""Training Manager"", ""identity"": []}","SELECT course_name, no_credit FROM Courses ORDER BY no_credit ASC",SUCCESS,,"[
  {
    ""course_name"": ""Machine Learning"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Computer Organization and Architecture"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Computer Vision"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Introduction to Computer Science"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Risk Management in Information Systems"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Policy Development in Information Assurance"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Enterprise Resource Planning (ERP)"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Information System Programming Project"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Information System Design & Analysis"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Natural Language Processing"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Software Architecture and Design"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Software development project"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Software Requirement"",
    ""no_credit"": 3
  }
]"
"Which courses have the word ""Software"" in their name?","{""role"": ""Student"", ""identity"": []}",SELECT course_name FROM Courses WHERE course_name LIKE '%Software%',SUCCESS,,"[
  {
    ""course_name"": ""Software Architecture and Design""
  },
  {
    ""course_name"": ""Software development project""
  },
  {
    ""course_name"": ""Software Requirement""
  }
]"
Show the courses that do not have any description,"{""role"": ""Student"", ""identity"": []}",SELECT course_name FROM Courses WHERE description IS NULL,SUCCESS,,[]
Find the names of courses with credits greater than 3,"{""role"": ""Student"", ""identity"": []}",SELECT course_name FROM Courses WHERE no_credit > 3,SUCCESS,,[]
List all available classes.,"{""role"": ""Training Manager"", ""identity"": []}",SELECT class_id FROM Classes,SUCCESS,,"[
  {
    ""class_id"": ""AI01""
  },
  {
    ""class_id"": ""IA01""
  },
  {
    ""class_id"": ""IS01""
  },
  {
    ""class_id"": ""SE01""
  }
]"
Show details for class 'SE01'.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.class_id, c.class_name, cc.course_id, co.course_name, cc.lecturer_id, l.fullname AS lecturer_name, cc.semester
FROM Classes AS c
LEFT JOIN ClassCourse AS cc ON c.class_id = cc.class_id
LEFT JOIN Courses AS co ON cc.course_id = co.course_id
LEFT JOIN Lecturers AS l ON cc.lecturer_id = l.lecturer_id
WHERE c.class_id = 'SE01';",DB_ERROR,"Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'class_name'. (207) (SQLExecDirectW); [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) executing query: SELECT c.class_id, c.class_name, cc.course_id, co.course_name, cc.lecturer_id, l.fullname AS lecturer_name, cc.semester
FROM Classes AS c
LEFT JOIN ClassCourse AS cc ON c.class_id = cc.class_id
LEFT JOIN Courses AS co ON cc.course_id = co.course_id
LEFT JOIN Lecturers AS l ON cc.lecturer_id = l.lecturer_id
WHERE c.class_id = 'SE01';",[]
How many classes are offered?,"{""role"": ""Training Manager"", ""identity"": []}",SELECT COUNT(DISTINCT class_id) FROM Classes,SUCCESS,,"[
  {
    """": 4
  }
]"
List all class with more than 30 students,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.class_id
FROM Classes c
JOIN ClassCourse cc ON c.class_id = cc.class_id
JOIN Enrollments e ON cc.class_course_id = e.class_course_id
GROUP BY c.class_id
HAVING COUNT(DISTINCT e.student_id) > 30;",SUCCESS,,[]
Find the classes that do not yet have any instructors assigned to them.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.class_id
FROM Classes c
LEFT JOIN ClassCourse cc ON c.class_id = cc.class_id
WHERE cc.lecturer_id IS NULL;",SUCCESS,,"[
  {
    ""class_id"": ""IS01""
  },
  {
    ""class_id"": ""SE01""
  }
]"
Display a list of classes and the number of courses that have been taught in each class.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.class_id, COUNT(DISTINCT cc.course_id) AS NumberOfCourses
FROM Classes c
JOIN ClassCourse cc ON c.class_id = cc.class_id
GROUP BY c.class_id;",SUCCESS,,"[
  {
    ""class_id"": ""AI01"",
    ""NumberOfCourses"": 3
  },
  {
    ""class_id"": ""IA01"",
    ""NumberOfCourses"": 2
  }
]"
Which classes have been assigned more than one course?,"{""role"": ""Training Manager"", ""identity"": []}",SELECT class_id FROM ClassCourse GROUP BY class_id HAVING COUNT(*) > 1,SUCCESS,,"[
  {
    ""class_id"": ""AI01""
  },
  {
    ""class_id"": ""IA01""
  }
]"
Display a list of codes and names of instructors.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT Lecturers.lecturer_id, Users.fullname
FROM Lecturers
INNER JOIN Users ON Lecturers.lecturer_id = Users.user_id;",SUCCESS,,"[
  {
    ""lecturer_id"": ""LEC01"",
    ""fullname"": ""Giang""
  },
  {
    ""lecturer_id"": ""LEC04"",
    ""fullname"": ""Hai""
  },
  {
    ""lecturer_id"": ""LEC05"",
    ""fullname"": ""Phuong""
  },
  {
    ""lecturer_id"": ""LEC03"",
    ""fullname"": ""Trang""
  },
  {
    ""lecturer_id"": ""LEC02"",
    ""fullname"": ""Tuan""
  }
]"
Information about the code and full name of the instructor named Trang.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT u.user_id, u.fullname
FROM Users u
JOIN Lecturers l ON u.user_id = l.lecturer_id
WHERE u.fullname LIKE '%Trang%';",SUCCESS,,"[
  {
    ""user_id"": ""LEC03"",
    ""fullname"": ""Trang""
  }
]"
List the lecturers belonging to the Software Engineering department.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT L.lecturer_id, U.fullname
FROM Lecturers AS L
INNER JOIN Departments AS D ON L.dep_id = D.dep_id
INNER JOIN Users AS U ON L.lecturer_id = U.user_id
WHERE D.dep_name = 'Software Engineering';",SUCCESS,,"[
  {
    ""lecturer_id"": ""LEC02"",
    ""fullname"": ""Tuan""
  },
  {
    ""lecturer_id"": ""LEC04"",
    ""fullname"": ""Hai""
  }
]"
"Find the lecturers whose code contains ""LEC"".","{""role"": ""Training Manager"", ""identity"": []}",SELECT lecturer_id FROM Lecturers WHERE lecturer_id LIKE '%LEC%',SUCCESS,,"[
  {
    ""lecturer_id"": ""LEC01""
  },
  {
    ""lecturer_id"": ""LEC02""
  },
  {
    ""lecturer_id"": ""LEC03""
  },
  {
    ""lecturer_id"": ""LEC04""
  },
  {
    ""lecturer_id"": ""LEC05""
  }
]"
What are the names of the lecturers who teach the MAE subject?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT L.fullname
FROM Lecturers AS L
INNER JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
WHERE CC.course_id = 'MAE';",DB_ERROR,"Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) (SQLExecDirectW) executing query: SELECT L.fullname
FROM Lecturers AS L
INNER JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
WHERE CC.course_id = 'MAE';",[]
List all departments.,"{""role"": ""Training Manager"", ""identity"": []}",SELECT dep_name FROM Departments,SUCCESS,,"[
  {
    ""dep_name"": ""Computing Fundamental""
  },
  {
    ""dep_name"": ""Artificial Intelligence""
  },
  {
    ""dep_name"": ""Information Assurance""
  },
  {
    ""dep_name"": ""Software Engineering""
  }
]"
Find the department named 'Computing Fundamental'.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT dep_id, dep_name FROM Departments WHERE dep_name = 'Computing Fundamental'",SUCCESS,,"[
  {
    ""dep_id"": ""D01"",
    ""dep_name"": ""Computing Fundamental""
  }
]"
How many departments are there?,"{""role"": ""Training Manager"", ""identity"": []}",SELECT COUNT(*) FROM Departments,SUCCESS,,"[
  {
    """": 4
  }
]"
List all the majors offered.,"{""role"": ""Student"", ""identity"": []}",SELECT DISTINCT major_name FROM Majors,SUCCESS,,"[
  {
    ""major_name"": ""Artificial Intelligence""
  },
  {
    ""major_name"": ""Information Assurance""
  },
  {
    ""major_name"": ""Information System""
  },
  {
    ""major_name"": ""Software Engineering""
  }
]"
Which major starts with the letter 'I'?,"{""role"": ""Student"", ""identity"": []}",SELECT major_name FROM Majors WHERE major_name LIKE 'I%',SUCCESS,,"[
  {
    ""major_name"": ""Information Assurance""
  },
  {
    ""major_name"": ""Information System""
  }
]"
List all of the academic programs.,"{""role"": ""Student"", ""identity"": []}",SELECT DISTINCT major_name FROM Majors,SUCCESS,,"[
  {
    ""major_name"": ""Artificial Intelligence""
  },
  {
    ""major_name"": ""Information Assurance""
  },
  {
    ""major_name"": ""Information System""
  },
  {
    ""major_name"": ""Software Engineering""
  }
]"
What are the permissions for the 'Student' role?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT p.permission_name
FROM Roles r
JOIN RolePermission rp ON r.role_id = rp.role_id
JOIN Permissions p ON rp.permission_id = p.permission_id
WHERE r.role_name = 'Student';",SUCCESS,,[]
Which users have permission to 'EditCourse'?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT Users.fullname
FROM Users
INNER JOIN UserRole ON Users.user_id = UserRole.user_id
INNER JOIN Roles ON UserRole.role_id = Roles.role_id
INNER JOIN RolePermission ON Roles.role_id = RolePermission.role_id
INNER JOIN Permissions ON RolePermission.permission_id = Permissions.permission_id
WHERE Permissions.permission_name = 'EditCourse';",SUCCESS,,[]
Which roles have the most permissions?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT TOP 1 role_name, COUNT(permission_id) AS permission_count
FROM Roles
JOIN RolePermission ON Roles.role_id = RolePermission.role_id
GROUP BY role_name
ORDER BY permission_count DESC;",SUCCESS,,[]
Which course have I enrolled in?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT c.course_name
FROM Enrollments AS e
JOIN ClassCourse AS cc ON e.class_course_id = cc.class_course_id
JOIN Courses AS c ON cc.course_id = c.course_id
WHERE e.student_id = 'HE001';",SUCCESS,,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  }
]"
