Question,SQL,Result,User_info
Show my absence count for each of my completed courses.,"SELECT
  C.course_name,
  COUNT(A.status) AS number_of_absences
FROM Enrollments AS E
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
JOIN Attendance AS A
  ON E.enrollment_id = A.enrollment_id
WHERE
  E.student_id = 'HE00001'
  AND E.status IN ('Passed', 'Failed')
  AND A.status = 'Absent'
GROUP BY
  C.course_name","[
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""number_of_absences"": 1
    },
    {
        ""course_name"": ""Programming Fundamentals"",
        ""number_of_absences"": 2
    }
]","Role: Student, ID: HE00001"
What are the pass and fail counts for each course?,"SELECT
  C.course_name,
  SUM(CASE WHEN E.status = 'Passed' THEN 1 ELSE 0 END) AS passed_count,
  SUM(CASE WHEN E.status = 'Failed' THEN 1 ELSE 0 END) AS failed_count
FROM Courses AS C
LEFT JOIN ClassCourse AS CC
  ON C.course_id = CC.course_id
LEFT JOIN Enrollments AS E
  ON CC.class_course_id = E.class_course_id
WHERE
  E.status IN ('Passed', 'Failed')
GROUP BY
  C.course_name","[
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""passed_count"": 13,
        ""failed_count"": 4
    },
    {
        ""course_name"": ""Database Systems"",
        ""passed_count"": 12,
        ""failed_count"": 4
    },
    {
        ""course_name"": ""Mathematics for Developers"",
        ""passed_count"": 7,
        ""failed_count"": 2
    },
    {
        ""course_name"": ""Programming Fundamentals"",
        ""passed_count"": 20,
        ""failed_count"": 6
    }
]","Role: Training Manager, ID: TM001"
How many students are enrolled in each of my classes for the SU24 semester?,"SELECT
  C.course_name,
  Cl.class_name,
  COUNT(E.student_id) AS number_of_students
FROM ClassCourse AS CC
JOIN Courses AS C
  ON CC.course_id = C.course_id
JOIN Classes AS Cl
  ON CC.class_id = Cl.class_id
JOIN Enrollments AS E
  ON CC.class_course_id = E.class_course_id
WHERE
  CC.lecturer_id = 'LEC001'
  AND CC.semester = 'SU24'
GROUP BY
  C.course_name,
  Cl.class_name;","[
    {
        ""course_name"": ""Information Assurance and Security"",
        ""class_name"": ""IA01"",
        ""number_of_students"": 4
    },
    {
        ""course_name"": ""Theory of Computation"",
        ""class_name"": ""CS02"",
        ""number_of_students"": 8
    }
]","Role: Lecturer, ID: LEC001"
"What is the average grade for each course, and which 3 courses have the highest averages?","SELECT TOP 3 WITH TIES
    C.course_name,
    AVG(E.average) AS average_grade
FROM Enrollments AS E
JOIN ClassCourse AS CC
    ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
    ON CC.course_id = C.course_id
WHERE 
        E.status IN ('Passed', 'Failed')
GROUP BY
    C.course_name
ORDER BY
    average_grade DESC;
","[
    {
        ""course_name"": ""Mathematics for Developers"",
        ""average_grade"": 6.755555555555556
    },
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""average_grade"": 6.711764705882352
    },
    {
        ""course_name"": ""Database Systems"",
        ""average_grade"": 6.56875
    }
]","Role: Training Manager, ID: TM001"
Can you show me the top 3 courses with the highest average grades across all students?,"SELECT TOP 3 WITH TIES
    C.course_name,
    AVG(E.average) AS average_grade
FROM Enrollments AS E
JOIN ClassCourse AS CC
    ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
    ON CC.course_id = C.course_id
WHERE 
        E.status IN ('Passed', 'Failed')
GROUP BY
    C.course_name
ORDER BY
    average_grade DESC;
","[
    {
        ""course_name"": ""Mathematics for Developers"",
        ""average_grade"": 6.755555555555556
    },
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""average_grade"": 6.711764705882352
    },
    {
        ""course_name"": ""Database Systems"",
        ""average_grade"": 6.56875
    }
]","Role: Training Manager, ID: TM001"
Show me the top 3 courses with the highest number of failed students.,"SELECT TOP 3 WITH TIES
  C.course_name,
  COUNT(E.enrollment_id) AS number_of_failures
FROM Enrollments AS E
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  E.status = 'Failed'
GROUP BY
  C.course_name
ORDER BY
  number_of_failures DESC","[
    {
        ""course_name"": ""Programming Fundamentals"",
        ""number_of_failures"": 6
    },
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""number_of_failures"": 4
    },
    {
        ""course_name"": ""Database Systems"",
        ""number_of_failures"": 4
    }
]","Role: Training Manager, ID: TM001"
How many lecturers are in each department?,"SELECT
    D.dep_name,
    COUNT(L.lecturer_id) AS number_of_lecturers
FROM
    Departments AS D
JOIN
    Lecturers AS L ON D.dep_id = L.dep_id
GROUP BY
    D.dep_name","[
    {
        ""dep_name"": ""Artificial Intelligence"",
        ""number_of_lecturers"": 3
    },
    {
        ""dep_name"": ""Computing Fundamental"",
        ""number_of_lecturers"": 2
    },
    {
        ""dep_name"": ""Information Assurance"",
        ""number_of_lecturers"": 2
    },
    {
        ""dep_name"": ""Software Engineering"",
        ""number_of_lecturers"": 3
    }
]","Role: Training Manager, ID: TM001"
"Can you provide a count of how many lecturers are in each department, and show the department name?","SELECT
  D.dep_name,
  COUNT(L.lecturer_id) AS number_of_lecturers
FROM Departments AS D
JOIN Lecturers AS L
  ON D.dep_id = L.dep_id
GROUP BY
  D.dep_name","[
    {
        ""dep_name"": ""Artificial Intelligence"",
        ""number_of_lecturers"": 3
    },
    {
        ""dep_name"": ""Computing Fundamental"",
        ""number_of_lecturers"": 2
    },
    {
        ""dep_name"": ""Information Assurance"",
        ""number_of_lecturers"": 2
    },
    {
        ""dep_name"": ""Software Engineering"",
        ""number_of_lecturers"": 3
    }
]","Role: Training Manager, ID: TM001"
"How many lecturers are in each department? Please list the department name and the total count, ordered from most to least.","SELECT
    D.dep_name,
    COUNT(L.lecturer_id) AS number_of_lecturers
FROM
    Departments AS D
JOIN
    Lecturers AS L ON D.dep_id = L.dep_id
GROUP BY
    D.dep_id, D.dep_name
ORDER BY
    number_of_lecturers DESC","[
    {
        ""dep_name"": ""Artificial Intelligence"",
        ""number_of_lecturers"": 3
    },
    {
        ""dep_name"": ""Software Engineering"",
        ""number_of_lecturers"": 3
    },
    {
        ""dep_name"": ""Computing Fundamental"",
        ""number_of_lecturers"": 2
    },
    {
        ""dep_name"": ""Information Assurance"",
        ""number_of_lecturers"": 2
    }
]","Role: Training Manager, ID: TM001"
"Can you show me a count of how many lecturers are in each department, sorted from most to least?","SELECT
    D.dep_name,
    COUNT(L.lecturer_id) AS number_of_lecturers
FROM Departments AS D
LEFT JOIN Lecturers AS L
    ON D.dep_id = L.dep_id
GROUP BY
    D.dep_name
ORDER BY
    number_of_lecturers DESC","[
    {
        ""dep_name"": ""Artificial Intelligence"",
        ""number_of_lecturers"": 3
    },
    {
        ""dep_name"": ""Software Engineering"",
        ""number_of_lecturers"": 3
    },
    {
        ""dep_name"": ""Computing Fundamental"",
        ""number_of_lecturers"": 2
    },
    {
        ""dep_name"": ""Information Assurance"",
        ""number_of_lecturers"": 2
    }
]","Role: Training Manager, ID: TM001"
"Can you show me a list of all lecturers, including their full names and the departments they work for?","SELECT
  U.fullname,
  D.dep_name
FROM Lecturers AS L
JOIN Users AS U
  ON L.lecturer_id = U.user_id
JOIN Departments AS D
  ON L.dep_id = D.dep_id","[
    {
        ""fullname"": ""Nguyễn Văn Bình"",
        ""dep_name"": ""Artificial Intelligence""
    },
    {
        ""fullname"": ""Nguyễn Thị Hoàng"",
        ""dep_name"": ""Software Engineering""
    },
    {
        ""fullname"": ""Trần Đức Trung"",
        ""dep_name"": ""Computing Fundamental""
    },
    {
        ""fullname"": ""Phạm Hoài Linh"",
        ""dep_name"": ""Information Assurance""
    },
    {
        ""fullname"": ""Đỗ Việt Anh"",
        ""dep_name"": ""Artificial Intelligence""
    },
    {
        ""fullname"": ""Trần Thị Mai"",
        ""dep_name"": ""Software Engineering""
    },
    {
        ""fullname"": ""Lê Hoàng Long"",
        ""dep_name"": ""Computing Fundamental""
    },
    {
        ""fullname"": ""Vũ Phương Quyên"",
        ""dep_name"": ""Information Assurance""
    },
    {
        ""fullname"": ""Hoàng Việt Sơn"",
        ""dep_name"": ""Artificial Intelligence""
    },
    {
        ""fullname"": ""Hồ Thị Phương Thảo"",
        ""dep_name"": ""Software Engineering""
    }
]","Role: Training Manager, ID: TM001"
Which lecturers are teaching the most classes in the SU24 semester? Please list them.,"SELECT TOP 1 WITH TIES
  U.fullname,
  COUNT(CC.class_course_id) AS class_count
FROM ClassCourse AS CC
JOIN Lecturers AS L
  ON CC.lecturer_id = L.lecturer_id
JOIN Users AS U
  ON L.lecturer_id = U.user_id
WHERE
  CC.semester = 'SU24'
GROUP BY
  U.fullname","Lỗi SQL: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The TOP N WITH TIES clause is not allowed without a corresponding ORDER BY clause. (1062) (SQLExecDirectW)')","Role: Training Manager, ID: TM001"
How many courses did each lecturer teach in the SU24 semester? List their names and the course count.,"SELECT
    U.fullname,
    COUNT(CC.course_id) AS course_count
FROM Lecturers AS L
JOIN Users AS U
    ON L.lecturer_id = U.user_id
JOIN ClassCourse AS CC
    ON L.lecturer_id = CC.lecturer_id
WHERE
    CC.semester = 'SU24'
GROUP BY
    U.fullname","[
    {
        ""fullname"": ""Đỗ Việt Anh"",
        ""course_count"": 1
    },
    {
        ""fullname"": ""Hồ Thị Phương Thảo"",
        ""course_count"": 1
    },
    {
        ""fullname"": ""Hoàng Việt Sơn"",
        ""course_count"": 1
    },
    {
        ""fullname"": ""Lê Hoàng Long"",
        ""course_count"": 2
    },
    {
        ""fullname"": ""Nguyễn Thị Hoàng"",
        ""course_count"": 2
    },
    {
        ""fullname"": ""Nguyễn Văn Bình"",
        ""course_count"": 2
    },
    {
        ""fullname"": ""Phạm Hoài Linh"",
        ""course_count"": 2
    },
    {
        ""fullname"": ""Trần Đức Trung"",
        ""course_count"": 2
    },
    {
        ""fullname"": ""Trần Thị Mai"",
        ""course_count"": 1
    },
    {
        ""fullname"": ""Vũ Phương Quyên"",
        ""course_count"": 2
    }
]","Role: Training Manager, ID: TM001"
"Which of my students scored higher than an 8.0 average, and in which course did they achieve it?","SELECT
  U.fullname,
  C.course_name,
  E.average
FROM Enrollments AS E
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Users AS U
  ON E.student_id = U.user_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  CC.lecturer_id = 'LEC001'
  AND E.average > 8.0;","[
    {
        ""fullname"": ""Lê Văn Cường"",
        ""course_name"": ""Programming Fundamentals"",
        ""average"": 8.8
    },
    {
        ""fullname"": ""Hoàng Minh Đức"",
        ""course_name"": ""Programming Fundamentals"",
        ""average"": 8.8
    }
]","Role: Lecturer, ID: LEC001"
"Show me the top 3 students with the highest overall average grade, along with their major.","SELECT TOP 3 WITH TIES
  U.fullname,
  M.major_name,
  AVG(E.average) AS overall_average_grade
FROM Enrollments AS E
JOIN Students AS S
  ON E.student_id = S.student_id
JOIN Users AS U
  ON S.student_id = U.user_id
JOIN Majors AS M
  ON S.major_id = M.major_id
WHERE 
        E.status IN ('Passed', 'Failed')
GROUP BY
  U.fullname,
  M.major_name
ORDER BY
  overall_average_grade DESC","[
    {
        ""fullname"": ""Mai Bảo Châu"",
        ""major_name"": ""Computer Science"",
        ""overall_average_grade"": 9.25
    },
    {
        ""fullname"": ""Nguyễn Phương Linh"",
        ""major_name"": ""Software Engineering"",
        ""overall_average_grade"": 9.2
    },
    {
        ""fullname"": ""Hồ Đức Anh"",
        ""major_name"": ""Computer Science"",
        ""overall_average_grade"": 9.15
    }
]","Role: Training Manager, ID: TM001"
Who are the top 3 students with the highest overall average grades across all their courses?,"SELECT TOP 3 WITH TIES
    U.fullname,
    AVG(E.average) AS overall_average_grade
FROM Enrollments AS E
JOIN Students AS S
    ON E.student_id = S.student_id
JOIN Users AS U
    ON S.student_id = U.user_id
WHERE 
        E.status IN ('Passed', 'Failed')
GROUP BY
    U.user_id,
    U.fullname
ORDER BY
    overall_average_grade DESC","[
    {
        ""fullname"": ""Mai Bảo Châu"",
        ""overall_average_grade"": 9.25
    },
    {
        ""fullname"": ""Nguyễn Phương Linh"",
        ""overall_average_grade"": 9.2
    },
    {
        ""fullname"": ""Hồ Đức Anh"",
        ""overall_average_grade"": 9.15
    }
]","Role: Training Manager, ID: TM001"
Show me the top 3 students with the lowest overall average grades.,"SELECT TOP 3 WITH TIES
  U.fullname,
  S.student_id,
  AVG(E.average) AS overall_average_grade
FROM Students AS S
JOIN Users AS U
  ON S.student_id = U.user_id
JOIN Enrollments AS E
  ON S.student_id = E.student_id
WHERE 
  E.status IN ('Passed', 'Failed')
GROUP BY
  S.student_id,
  U.fullname
ORDER BY
  overall_average_grade ASC","[
    {
        ""fullname"": ""Lý Hoàng Nam"",
        ""student_id"": ""HE00045"",
        ""overall_average_grade"": 3.7
    },
    {
        ""fullname"": ""Vương Thị Uyên"",
        ""student_id"": ""HE00020"",
        ""overall_average_grade"": 4.15
    },
    {
        ""fullname"": ""Phan Văn Sơn"",
        ""student_id"": ""HE00015"",
        ""overall_average_grade"": 4.25
    },
    {
        ""fullname"": ""Đặng Văn Khánh"",
        ""student_id"": ""HE00007"",
        ""overall_average_grade"": 4.25
    }
]","Role: Training Manager, ID: TM001"
"Can you give me a count of courses assigned to each lecturer, ordered from most to least?","SELECT
    U.fullname,
    COUNT(CC.course_id) AS course_count
FROM Lecturers AS L
JOIN Users AS U
    ON L.lecturer_id = U.user_id
JOIN ClassCourse AS CC
    ON L.lecturer_id = CC.lecturer_id
GROUP BY
    U.fullname
ORDER BY
    course_count DESC;","[
    {
        ""fullname"": ""Nguyễn Thị Hoàng"",
        ""course_count"": 4
    },
    {
        ""fullname"": ""Nguyễn Văn Bình"",
        ""course_count"": 4
    },
    {
        ""fullname"": ""Phạm Hoài Linh"",
        ""course_count"": 3
    },
    {
        ""fullname"": ""Trần Đức Trung"",
        ""course_count"": 3
    },
    {
        ""fullname"": ""Trần Thị Mai"",
        ""course_count"": 3
    },
    {
        ""fullname"": ""Vũ Phương Quyên"",
        ""course_count"": 3
    },
    {
        ""fullname"": ""Đỗ Việt Anh"",
        ""course_count"": 3
    },
    {
        ""fullname"": ""Hồ Thị Phương Thảo"",
        ""course_count"": 3
    },
    {
        ""fullname"": ""Hoàng Việt Sơn"",
        ""course_count"": 3
    },
    {
        ""fullname"": ""Lê Hoàng Long"",
        ""course_count"": 3
    }
]","Role: Training Manager, ID: TM001"
"Show me the number of classes each lecturer is teaching in the SU24 semester, sorted from most to least.","SELECT
  U.fullname,
  COUNT(CC.class_course_id) AS class_count
FROM ClassCourse AS CC
JOIN Lecturers AS L
  ON CC.lecturer_id = L.lecturer_id
JOIN Users AS U
  ON L.lecturer_id = U.user_id
WHERE
  CC.semester = 'SU24'
GROUP BY
  U.user_id,
  U.fullname
ORDER BY
  class_count DESC;","[
    {
        ""fullname"": ""Nguyễn Văn Bình"",
        ""class_count"": 2
    },
    {
        ""fullname"": ""Nguyễn Thị Hoàng"",
        ""class_count"": 2
    },
    {
        ""fullname"": ""Phạm Hoài Linh"",
        ""class_count"": 2
    },
    {
        ""fullname"": ""Lê Hoàng Long"",
        ""class_count"": 2
    },
    {
        ""fullname"": ""Vũ Phương Quyên"",
        ""class_count"": 2
    },
    {
        ""fullname"": ""Trần Đức Trung"",
        ""class_count"": 2
    },
    {
        ""fullname"": ""Đỗ Việt Anh"",
        ""class_count"": 1
    },
    {
        ""fullname"": ""Hoàng Việt Sơn"",
        ""class_count"": 1
    },
    {
        ""fullname"": ""Hồ Thị Phương Thảo"",
        ""class_count"": 1
    },
    {
        ""fullname"": ""Trần Thị Mai"",
        ""class_count"": 1
    }
]","Role: Training Manager, ID: TM001"
How many classes is each lecturer teaching in the SU24 semester? Please list them from most to least.,"SELECT
  U.fullname,
  COUNT(CC.class_course_id) AS class_count
FROM ClassCourse AS CC
JOIN Users AS U
  ON CC.lecturer_id = U.user_id
WHERE
  CC.semester = 'SU24'
GROUP BY
  U.user_id,
  U.fullname
ORDER BY
  class_count DESC","[
    {
        ""fullname"": ""Nguyễn Văn Bình"",
        ""class_count"": 2
    },
    {
        ""fullname"": ""Nguyễn Thị Hoàng"",
        ""class_count"": 2
    },
    {
        ""fullname"": ""Phạm Hoài Linh"",
        ""class_count"": 2
    },
    {
        ""fullname"": ""Lê Hoàng Long"",
        ""class_count"": 2
    },
    {
        ""fullname"": ""Vũ Phương Quyên"",
        ""class_count"": 2
    },
    {
        ""fullname"": ""Trần Đức Trung"",
        ""class_count"": 2
    },
    {
        ""fullname"": ""Đỗ Việt Anh"",
        ""class_count"": 1
    },
    {
        ""fullname"": ""Hoàng Việt Sơn"",
        ""class_count"": 1
    },
    {
        ""fullname"": ""Hồ Thị Phương Thảo"",
        ""class_count"": 1
    },
    {
        ""fullname"": ""Trần Thị Mai"",
        ""class_count"": 1
    }
]","Role: Training Manager, ID: TM001"
Which lecturers are teaching the most courses across all semesters? List the top 3.,"SELECT TOP 3 WITH TIES
  U.fullname,
  COUNT(CC.class_course_id) AS course_count
FROM ClassCourse AS CC
JOIN Lecturers AS L
  ON CC.lecturer_id = L.lecturer_id
JOIN Users AS U
  ON L.lecturer_id = U.user_id
GROUP BY
  U.fullname
ORDER BY
  course_count DESC","[
    {
        ""fullname"": ""Nguyễn Thị Hoàng"",
        ""course_count"": 4
    },
    {
        ""fullname"": ""Nguyễn Văn Bình"",
        ""course_count"": 4
    },
    {
        ""fullname"": ""Phạm Hoài Linh"",
        ""course_count"": 3
    },
    {
        ""fullname"": ""Trần Đức Trung"",
        ""course_count"": 3
    },
    {
        ""fullname"": ""Trần Thị Mai"",
        ""course_count"": 3
    },
    {
        ""fullname"": ""Vũ Phương Quyên"",
        ""course_count"": 3
    },
    {
        ""fullname"": ""Đỗ Việt Anh"",
        ""course_count"": 3
    },
    {
        ""fullname"": ""Hồ Thị Phương Thảo"",
        ""course_count"": 3
    },
    {
        ""fullname"": ""Hoàng Việt Sơn"",
        ""course_count"": 3
    },
    {
        ""fullname"": ""Lê Hoàng Long"",
        ""course_count"": 3
    }
]","Role: Training Manager, ID: TM001"
