Category,Question,SQL,Result,Condition,Table Used,Element
Enrollments & Grades,What is the average grade value of each of my completed courses/subjects?,"SELECT cc.course_id,
        e.average, 
        cc.semester
FROM Enrollments AS e
JOIN ClassCourse AS cc ON e.class_course_id = cc.class_course_id
WHERE
  e.student_id = 'HE00001' AND e.status <> 'Studying';","[
    {
        ""course_id"": ""CSD201"",
        ""average"": 8.0,
        ""semester"": ""SP24""
    },
    {
        ""course_id"": ""PRF192"",
        ""average"": 7.5,
        ""semester"": ""SP24""
    }
]","{""role"": ""Student"", ""identity"": [""HE00001""]}","['ClassCourse', 'Enrollments']","['AND', 'AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Enrollments & Grades,What was the course and class information corresponding to my top 5  highest grade?,"SELECT TOP 5
    CC.course_id,
    CC.class_id,
    E.average AS Grade
FROM Enrollments AS E
JOIN ClassCourse AS CC
    ON E.class_course_id = CC.class_course_id
WHERE
    E.student_id = 'HE00001'
ORDER BY
    E.average DESC;","[
    {
        ""course_id"": ""CSD201"",
        ""class_id"": ""AI_K1_FA23"",
        ""Grade"": 8.0
    },
    {
        ""course_id"": ""PRF192"",
        ""class_id"": ""AI_K1_FA23"",
        ""Grade"": 7.5
    },
    {
        ""course_id"": ""NLP302"",
        ""class_id"": ""AI_K1_FA23"",
        ""Grade"": 0.0
    },
    {
        ""course_id"": ""AIL301"",
        ""class_id"": ""AI_K1_FA23"",
        ""Grade"": 0.0
    }
]","{""role"": ""Student"", ""identity"": [""HE00001""]}","['ClassCourse', 'Enrollments']","['AS', 'DESC', 'FROM', 'JOIN', 'ON', 'ORDER BY', 'SELECT', 'WHERE']"
Courses,"Which courses have the word ""Software"" in their name?","SELECT
  course_id,
  course_name
FROM Courses
WHERE
  course_name LIKE '%Software%';","[
    {
        ""course_id"": ""PRJ302"",
        ""course_name"": ""Software Project Management""
    },
    {
        ""course_id"": ""SDE303"",
        ""course_name"": ""Software Design and Architecture""
    },
    {
        ""course_id"": ""SWE301"",
        ""course_name"": ""Software Engineering Principles""
    },
    {
        ""course_id"": ""SWT304"",
        ""course_name"": ""Software Testing and Quality Assurance""
    }
]","{""role"": ""Student"", ""identity"": []}",['Courses'],"['FROM', 'SELECT', 'WHERE']"
Curriculum and Majors,List my courses in ascending order of the course name,"SELECT
  c.course_name
FROM Students AS s
JOIN Majors AS m
  ON s.major_id = m.major_id
JOIN Curriculums AS cur
  ON m.major_id = cur.major_id
JOIN Courses AS c
  ON cur.course_id = c.course_id
WHERE
  s.student_id = 'HE00001'
ORDER BY
  c.course_name ASC;","[
    {
        ""course_name"": ""AI Ethics and Society""
    },
    {
        ""course_name"": ""AI in Vision""
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning""
    },
    {
        ""course_name"": ""Data Structures and Algorithms""
    },
    {
        ""course_name"": ""Natural Language Processing""
    },
    {
        ""course_name"": ""Programming Fundamentals""
    }
]","{""role"": ""Student"", ""identity"": [""HE00001""]}","['Courses', 'Curriculums', 'Majors', 'Students']","['AS', 'ASC', 'FROM', 'JOIN', 'ON', 'ORDER BY', 'SELECT', 'WHERE']"
Curriculum and Majors,List the courses required for my major?,"SELECT
  C.course_name
FROM Curriculums AS CU
JOIN Majors AS M
  ON CU.major_id = M.major_id
JOIN Courses AS C
  ON CU.course_id = C.course_id
JOIN Students AS S
  ON M.major_id = S.major_id
WHERE
  S.student_id = 'HE00001';","[
    {
        ""course_name"": ""AI Ethics and Society""
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning""
    },
    {
        ""course_name"": ""AI in Vision""
    },
    {
        ""course_name"": ""Data Structures and Algorithms""
    },
    {
        ""course_name"": ""Natural Language Processing""
    },
    {
        ""course_name"": ""Programming Fundamentals""
    }
]","{""role"": ""Student"", ""identity"": [""HE00001""]}","['Courses', 'Curriculums', 'Majors', 'Students']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Enrollments & Grades,Which course have I enrolled in?,"SELECT
  C.course_name
FROM Enrollments AS E
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  E.student_id = 'HE00001';","[
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning""
    },
    {
        ""course_name"": ""Data Structures and Algorithms""
    },
    {
        ""course_name"": ""Natural Language Processing""
    },
    {
        ""course_name"": ""Programming Fundamentals""
    }
]","{""role"": ""Student"", ""identity"": [""HE00001""]}","['ClassCourse', 'Courses', 'Enrollments']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Schedules,Which courses have classes on Mondays in this semester?,"SELECT DISTINCT T1.course_name
FROM Courses AS T1
INNER JOIN ClassCourse AS T2
  ON T1.course_id = T2.course_id
INNER JOIN Schedules AS T3
  ON T2.class_course_id = T3.class_course_id
WHERE
  DATENAME(weekday, T3.start_time) = 'Monday' AND T2.semester = 'SU24';","[
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning""
    },
    {
        ""course_name"": ""Network Security""
    },
    {
        ""course_name"": ""Operating Systems""
    },
    {
        ""course_name"": ""Software Engineering Principles""
    }
]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Courses', 'Schedules']","['AND', 'AS', 'DISTINCT', 'FROM', 'INNER JOIN', 'ON', 'SELECT', 'WHERE']"
Attendance,How many lectures did I attend for each course this semester?,"SELECT
  C.course_name,
  COUNT(A.status) AS AttendedLecturesCount
FROM Attendance AS A
JOIN Enrollments AS E
  ON A.enrollment_id = E.enrollment_id
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  E.student_id = 'HE00001' AND CC.semester = 'SU24' AND A.status = 'Present'
GROUP BY
  C.course_name;","[
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""AttendedLecturesCount"": 5
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""AttendedLecturesCount"": 5
    }
]","{""role"": ""Student"", ""identity"": [""HE00001""]}","['Attendance', 'ClassCourse', 'Courses', 'Enrollments']","['AND', 'AS', 'FROM', 'GROUP BY', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Enrollments & Grades,Show my transcript including course name grade and credits for each course,"SELECT c.course_name, e.average, c.no_credit 
FROM Enrollments e 
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id 
JOIN Courses c ON cc.course_id = c.course_id 
WHERE e.student_id = 'HE00001'","[
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""average"": 0.0,
        ""no_credit"": 3
    },
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""average"": 8.0,
        ""no_credit"": 3
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""average"": 0.0,
        ""no_credit"": 3
    },
    {
        ""course_name"": ""Programming Fundamentals"",
        ""average"": 7.5,
        ""no_credit"": 3
    }
]","{""role"": ""Student"", ""identity"": [""HE00001""]}","['ClassCourse', 'Courses', 'Enrollments']","['FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Schedules,Show my schedule for all the classes I am currently enrolled in.,"SELECT
  T4.course_name,
  T3.class_id,
  T1.start_time,
  T1.end_time,
  T1.room,
  T1.slot
FROM Schedules AS T1
JOIN ClassCourse AS T3
  ON T1.class_course_id = T3.class_course_id
JOIN Enrollments AS T2
  ON T3.class_course_id = T2.class_course_id
JOIN Courses AS T4
  ON T3.course_id = T4.course_id
WHERE
  T2.student_id = 'HE00001' AND T2.status = 'Studying';","[
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-05-06 07:30:00"",
        ""end_time"": ""2024-05-06 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-07-08 07:30:00"",
        ""end_time"": ""2024-07-08 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-05-13 07:30:00"",
        ""end_time"": ""2024-05-13 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-05-20 07:30:00"",
        ""end_time"": ""2024-05-20 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-05-27 07:30:00"",
        ""end_time"": ""2024-05-27 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-06-03 07:30:00"",
        ""end_time"": ""2024-06-03 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-06-10 07:30:00"",
        ""end_time"": ""2024-06-10 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-06-17 07:30:00"",
        ""end_time"": ""2024-06-17 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-06-24 07:30:00"",
        ""end_time"": ""2024-06-24 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-07-01 07:30:00"",
        ""end_time"": ""2024-07-01 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-05-07 07:30:00"",
        ""end_time"": ""2024-05-07 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-07-09 07:30:00"",
        ""end_time"": ""2024-07-09 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-05-14 07:30:00"",
        ""end_time"": ""2024-05-14 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-05-21 07:30:00"",
        ""end_time"": ""2024-05-21 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-05-28 07:30:00"",
        ""end_time"": ""2024-05-28 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-06-04 07:30:00"",
        ""end_time"": ""2024-06-04 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-06-11 07:30:00"",
        ""end_time"": ""2024-06-11 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-06-18 07:30:00"",
        ""end_time"": ""2024-06-18 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-06-25 07:30:00"",
        ""end_time"": ""2024-06-25 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""class_id"": ""AI_K1_FA23"",
        ""start_time"": ""2024-07-02 07:30:00"",
        ""end_time"": ""2024-07-02 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    }
]","{""role"": ""Student"", ""identity"": [""HE00001""]}","['ClassCourse', 'Courses', 'Enrollments', 'Schedules']","['AND', 'AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Schedules,"Show my class schedule for this semester, including the instructors.","SELECT
    C.course_name,
    LU.fullname,
    S.start_time , 
    S.end_time ,     
    S.room,
    S.slot
FROM Enrollments AS E
JOIN Students AS ST ON E.student_id = ST.student_id
JOIN ClassCourse AS CC ON E.class_course_id = CC.class_course_id
JOIN Courses AS C ON CC.course_id = C.course_id
JOIN Schedules AS S ON CC.class_course_id = S.class_course_id
JOIN Lecturers AS L ON CC.lecturer_id = L.lecturer_id
JOIN Users AS LU ON L.lecturer_id = LU.user_id
WHERE
    ST.student_id = 'HE00001' 
    AND CC.semester = 'SU24';","[
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""fullname"": ""Trần Đức Trung"",
        ""start_time"": ""2024-05-06 07:30:00"",
        ""end_time"": ""2024-05-06 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""fullname"": ""Trần Đức Trung"",
        ""start_time"": ""2024-07-08 07:30:00"",
        ""end_time"": ""2024-07-08 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""fullname"": ""Trần Đức Trung"",
        ""start_time"": ""2024-05-13 07:30:00"",
        ""end_time"": ""2024-05-13 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""fullname"": ""Trần Đức Trung"",
        ""start_time"": ""2024-05-20 07:30:00"",
        ""end_time"": ""2024-05-20 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""fullname"": ""Trần Đức Trung"",
        ""start_time"": ""2024-05-27 07:30:00"",
        ""end_time"": ""2024-05-27 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""fullname"": ""Trần Đức Trung"",
        ""start_time"": ""2024-06-03 07:30:00"",
        ""end_time"": ""2024-06-03 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""fullname"": ""Trần Đức Trung"",
        ""start_time"": ""2024-06-10 07:30:00"",
        ""end_time"": ""2024-06-10 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""fullname"": ""Trần Đức Trung"",
        ""start_time"": ""2024-06-17 07:30:00"",
        ""end_time"": ""2024-06-17 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""fullname"": ""Trần Đức Trung"",
        ""start_time"": ""2024-06-24 07:30:00"",
        ""end_time"": ""2024-06-24 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""fullname"": ""Trần Đức Trung"",
        ""start_time"": ""2024-07-01 07:30:00"",
        ""end_time"": ""2024-07-01 09:50:00"",
        ""room"": ""R001"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""fullname"": ""Phạm Hoài Linh"",
        ""start_time"": ""2024-05-07 07:30:00"",
        ""end_time"": ""2024-05-07 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""fullname"": ""Phạm Hoài Linh"",
        ""start_time"": ""2024-07-09 07:30:00"",
        ""end_time"": ""2024-07-09 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""fullname"": ""Phạm Hoài Linh"",
        ""start_time"": ""2024-05-14 07:30:00"",
        ""end_time"": ""2024-05-14 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""fullname"": ""Phạm Hoài Linh"",
        ""start_time"": ""2024-05-21 07:30:00"",
        ""end_time"": ""2024-05-21 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""fullname"": ""Phạm Hoài Linh"",
        ""start_time"": ""2024-05-28 07:30:00"",
        ""end_time"": ""2024-05-28 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""fullname"": ""Phạm Hoài Linh"",
        ""start_time"": ""2024-06-04 07:30:00"",
        ""end_time"": ""2024-06-04 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""fullname"": ""Phạm Hoài Linh"",
        ""start_time"": ""2024-06-11 07:30:00"",
        ""end_time"": ""2024-06-11 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""fullname"": ""Phạm Hoài Linh"",
        ""start_time"": ""2024-06-18 07:30:00"",
        ""end_time"": ""2024-06-18 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""fullname"": ""Phạm Hoài Linh"",
        ""start_time"": ""2024-06-25 07:30:00"",
        ""end_time"": ""2024-06-25 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""fullname"": ""Phạm Hoài Linh"",
        ""start_time"": ""2024-07-02 07:30:00"",
        ""end_time"": ""2024-07-02 09:50:00"",
        ""room"": ""R002"",
        ""slot"": 1
    }
]","{""role"": ""Student"", ""identity"": [""HE00001""]}","['ClassCourse', 'Courses', 'Enrollments', 'Lecturers', 'Schedules', 'Students', 'Users']","['AND', 'AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Schedules,How many classes are there for each course this term?,"SELECT
  T2.course_name,
  COUNT(T1.class_id) AS NumberOfClasses
FROM ClassCourse AS T1
JOIN Courses AS T2
  ON T1.course_id = T2.course_id
WHERE
  T1.semester = 'SU24' 
GROUP BY
  T2.course_name","[
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""NumberOfClasses"": 2
    },
    {
        ""course_name"": ""Information Assurance and Security"",
        ""NumberOfClasses"": 2
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""NumberOfClasses"": 2
    },
    {
        ""course_name"": ""Network Security"",
        ""NumberOfClasses"": 2
    },
    {
        ""course_name"": ""Operating Systems"",
        ""NumberOfClasses"": 2
    },
    {
        ""course_name"": ""Software Engineering Principles"",
        ""NumberOfClasses"": 2
    },
    {
        ""course_name"": ""Software Project Management"",
        ""NumberOfClasses"": 2
    },
    {
        ""course_name"": ""Theory of Computation"",
        ""NumberOfClasses"": 2
    }
]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Courses']","['AS', 'FROM', 'GROUP BY', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Course and Class Relationships,The number of lecturers who have taught each subject.,"SELECT c.course_name, COUNT(DISTINCT cc.lecturer_id) AS NumberOfLecturers
FROM ClassCourse cc
JOIN Courses c ON cc.course_id = c.course_id
GROUP BY c.course_name;","[
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""NumberOfLecturers"": 2
    },
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""NumberOfLecturers"": 4
    },
    {
        ""course_name"": ""Database Systems"",
        ""NumberOfLecturers"": 3
    },
    {
        ""course_name"": ""Information Assurance and Security"",
        ""NumberOfLecturers"": 2
    },
    {
        ""course_name"": ""Mathematics for Developers"",
        ""NumberOfLecturers"": 2
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""NumberOfLecturers"": 2
    },
    {
        ""course_name"": ""Network Security"",
        ""NumberOfLecturers"": 2
    },
    {
        ""course_name"": ""Operating Systems"",
        ""NumberOfLecturers"": 2
    },
    {
        ""course_name"": ""Programming Fundamentals"",
        ""NumberOfLecturers"": 5
    },
    {
        ""course_name"": ""Software Engineering Principles"",
        ""NumberOfLecturers"": 2
    },
    {
        ""course_name"": ""Software Project Management"",
        ""NumberOfLecturers"": 2
    },
    {
        ""course_name"": ""Theory of Computation"",
        ""NumberOfLecturers"": 2
    }
]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Courses']","['AS', 'DISTINCT', 'FROM', 'GROUP BY', 'JOIN', 'ON', 'SELECT']"
Curriculum and Majors,List the required courses for the Information Assurance major.,"SELECT
  c.course_name
FROM Curriculums AS cur
JOIN Majors AS m
  ON cur.major_id = m.major_id
JOIN Courses AS c
  ON cur.course_id = c.course_id
WHERE
  m.major_name = 'Information Assurance';","[
    {
        ""course_name"": ""Cryptography""
    },
    {
        ""course_name"": ""Database Systems""
    },
    {
        ""course_name"": ""Information Assurance and Security""
    },
    {
        ""course_name"": ""Information Security Systems""
    },
    {
        ""course_name"": ""Network Security""
    },
    {
        ""course_name"": ""Programming Fundamentals""
    }
]","{""role"": ""Student"", ""identity"": []}","['Courses', 'Curriculums', 'Majors']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Course and Class Relationships,Find all courses taught by lecturers who are from the Computer Science department.,"SELECT c.course_name
FROM ClassCourse cc
JOIN Courses c ON cc.course_id = c.course_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Departments d ON l.dep_id = d.dep_id
WHERE d.dep_name = 'Software Engineering'","[
    {
        ""course_name"": ""Data Structures and Algorithms""
    },
    {
        ""course_name"": ""Data Structures and Algorithms""
    },
    {
        ""course_name"": ""Database Systems""
    },
    {
        ""course_name"": ""Database Systems""
    },
    {
        ""course_name"": ""Operating Systems""
    },
    {
        ""course_name"": ""Database Systems""
    },
    {
        ""course_name"": ""Network Security""
    },
    {
        ""course_name"": ""Network Security""
    },
    {
        ""course_name"": ""Software Project Management""
    },
    {
        ""course_name"": ""Mathematics for Developers""
    }
]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Courses', 'Departments', 'Lecturers']","['FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Course and Class Relationships,Which courses have more than one lecturer in the same semester?,"SELECT c.course_name
FROM ClassCourse cc
JOIN Courses c ON cc.course_id = c.course_id
GROUP BY c.course_name, cc.semester
HAVING COUNT(DISTINCT cc.lecturer_id) > 1;","[
    {
        ""course_name"": ""Data Structures and Algorithms""
    },
    {
        ""course_name"": ""Database Systems""
    },
    {
        ""course_name"": ""Mathematics for Developers""
    },
    {
        ""course_name"": ""Programming Fundamentals""
    },
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning""
    },
    {
        ""course_name"": ""Information Assurance and Security""
    },
    {
        ""course_name"": ""Natural Language Processing""
    },
    {
        ""course_name"": ""Network Security""
    },
    {
        ""course_name"": ""Operating Systems""
    },
    {
        ""course_name"": ""Software Engineering Principles""
    },
    {
        ""course_name"": ""Software Project Management""
    },
    {
        ""course_name"": ""Theory of Computation""
    }
]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Courses']","['DISTINCT', 'FROM', 'GROUP BY', 'HAVING', 'JOIN', 'ON', 'SELECT']"
Curriculum and Majors,Which courses are required by more than one major?,"SELECT c.course_name
FROM Curriculums cur
JOIN Courses c ON cur.course_id = c.course_id
GROUP BY c.course_name
HAVING COUNT(DISTINCT cur.major_id) > 1;","[
    {
        ""course_name"": ""Data Structures and Algorithms""
    },
    {
        ""course_name"": ""Database Systems""
    },
    {
        ""course_name"": ""Programming Fundamentals""
    }
]","{""role"": ""Student"", ""identity"": []}","['Courses', 'Curriculums']","['DISTINCT', 'FROM', 'GROUP BY', 'HAVING', 'JOIN', 'ON', 'SELECT']"
Enrollments & Grades,List the grades for the courses I've Passed.,"SELECT
  c.course_name,
  cg.grade_name,
  sgd.grade_value
FROM Enrollments AS e
JOIN StudentGradeDetails AS sgd
  ON e.enrollment_id = sgd.enrollment_id
JOIN CourseGrade AS cg
  ON sgd.course_grade_id = cg.course_grade_id
JOIN ClassCourse AS cc
  ON e.class_course_id = cc.class_course_id
JOIN Courses AS c
  ON cc.course_id = c.course_id
WHERE
  e.student_id = 'HE00001' AND e.status = 'Passed';","[
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""grade_name"": ""Assignment 1"",
        ""grade_value"": 8.5
    },
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""grade_name"": ""Final Exam"",
        ""grade_value"": 8.0
    },
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""grade_name"": ""Final Resit"",
        ""grade_value"": 0.0
    },
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""grade_name"": ""Lab 1"",
        ""grade_value"": 8.0
    },
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""grade_name"": ""Progress Test 1"",
        ""grade_value"": 7.0
    },
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""grade_name"": ""Progress Test 2"",
        ""grade_value"": 8.5
    },
    {
        ""course_name"": ""Programming Fundamentals"",
        ""grade_name"": ""Assignment 1"",
        ""grade_value"": 8.0
    },
    {
        ""course_name"": ""Programming Fundamentals"",
        ""grade_name"": ""Final Exam"",
        ""grade_value"": 7.5
    },
    {
        ""course_name"": ""Programming Fundamentals"",
        ""grade_name"": ""Final Resit"",
        ""grade_value"": 0.0
    },
    {
        ""course_name"": ""Programming Fundamentals"",
        ""grade_name"": ""Lab 1"",
        ""grade_value"": 7.0
    },
    {
        ""course_name"": ""Programming Fundamentals"",
        ""grade_name"": ""Progress Test 1"",
        ""grade_value"": 7.5
    },
    {
        ""course_name"": ""Programming Fundamentals"",
        ""grade_name"": ""Progress Test 2"",
        ""grade_value"": 8.0
    }
]","{""role"": ""Student"", ""identity"": [""HE00001""]}","['ClassCourse', 'CourseGrade', 'Courses', 'Enrollments', 'StudentGradeDetails']","['AND', 'AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Curriculum and Majors,List the names of the required courses for the Software Engineering major.,"SELECT
  c.course_name
FROM Curriculums AS cu
JOIN Majors AS m
  ON cu.major_id = m.major_id
JOIN Courses AS c
  ON cu.course_id = c.course_id
WHERE
  m.major_name = 'Software Engineering';","[
    {
        ""course_name"": ""Mathematics for Developers""
    },
    {
        ""course_name"": ""Programming Fundamentals""
    },
    {
        ""course_name"": ""Software Project Management""
    },
    {
        ""course_name"": ""Software Design and Architecture""
    },
    {
        ""course_name"": ""Software Engineering Principles""
    },
    {
        ""course_name"": ""Software Testing and Quality Assurance""
    }
]","{""role"": ""Student"", ""identity"": []}","['Courses', 'Curriculums', 'Majors']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
